---------------------------------------------------------------------------------------------
Output for  sample-f.txt
---------------------------------------------------------------------------------------------
('total number of words=', 2978954)
('total number of distinct words=', 45509)
('popular_threshold_word=', 2276.0)
('common_threshold_l_word=', 21616.0)
('common_threshold_u_word=', 23893.0)
('rare_threshold_word=', 43233.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|Word          |Frequency|
|976 |doctrine      |272      |
|977 |belly         |271      |
|978 |fucked        |271      |
|979 |noise         |271      |
|980 |wilt          |271      |
|981 |youth         |271      |
|982 |caught        |270      |
|983 |cometh        |270      |
|984 |inheritance   |270      |
|985 |sacrifice     |270      |
|986 |washington    |270      |
|987 |algernon      |269      |
|988 |desired       |269      |
|989 |distance      |269      |
|990 |natural       |269      |
|991 |allowed       |268      |
|992 |consider      |268      |
|993 |generally     |268      |
|994 |experience    |267      |
|995 |satisfied     |267      |
|996 |fruit         |266      |
|997 |proper        |266      |
|998 |teach         |266      |
|999 |chair         |265      |
|1000|kissed        |265      |
|1001|watch         |265      |
|1002|actions       |264      |
|1003|fingers       |264      |
|1004|usually       |264      |
|1005|joseph        |263      |
|1006|righteousness |263      |
|1007|promised      |262      |
|1008|real          |261      |
|1009|taught        |261      |
|1010|london        |260      |
|1011|provided      |260      |
|1012|shew          |260      |
|1013|kiss          |259      |
|1014|permission    |258      |
|1015|rank          |258      |
|1016|corner        |257      |
|1017|knowing       |257      |
|1018|learn         |257      |
|1019|meeting       |257      |
|1020|secretary     |257      |
|1021|somewhat      |257      |
|1022|cecily        |256      |
|1023|journey       |256      |
|1024|religion      |256      |
|1025|rule          |256      |
|1026|tired         |256      |
|1027|arose         |255      |
|1028|duke          |255      |
|1029|families      |255      |
|1030|glass         |255      |
|1031|laugh         |255      |
|1032|lawes         |255      |
|1033|remain        |255      |
|1034|tribe         |255      |
|1035|worship       |255      |
|1036|ashamed       |254      |
|1037|asleep        |254      |
|1038|dwelt         |254      |
|1039|officers      |254      |
|1040|associated    |253      |
|1041|directly      |253      |
|1042|joshua        |253      |
|1043|philistines   |253      |
|1044|remained      |253      |
|1045|wonder        |253      |
|1046|fucking       |252      |
|1047|naked         |252      |
|1048|usual         |252      |
|1049|worth         |252      |
|1050|bodies        |251      |
|1051|hardly        |251      |
|1052|whereof       |250      |
|1053|killed        |249      |
|1054|touched       |249      |
|1055|afternoon     |248      |
|1056|considered    |248      |
|1057|grace         |248      |
|1058|probably      |248      |
|1059|streets       |248      |
|1060|west          |248      |
|1061|appear        |247      |
|1062|camp          |247      |
|1063|en            |247      |
|1064|fat           |247      |
|1065|keeping       |247      |
|1066|temple        |247      |
|1067|dream         |246      |
|1068|forget        |246      |
|1069|freely        |246      |
|1070|paul          |246      |
|1071|acts          |245      |
|1072|ago           |245      |
